"Stanice","Srazky_za_posledni_hodinu","Srazky_za_12_hodin","Srazky_za_24_hodin","Novy_snih_cm","Celkova_snehova_pokryvka_cm","date_stamp"
"Praha-Ruzyně","0,0 mm","4 mm","1,2 mm","0 cm"," ","12/10/2021 19:00:00"
"Karlovy Vary","0,0 mm","3 mm","0,2 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Pec pod Sněžkou","neměřitelné","4 mm","0,7 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Šerák","0,9 mm","1 mm","0,5 mm","0 cm","0 cm","12/10/2021 19:00:00"
"České Budějovice","0,8 mm"," ","neměřitelné","0 cm","0 cm","12/10/2021 19:00:00"
"Maruška","0,0 mm"," ","0,0 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Tušimice","0,0 mm","0,6 mm","neměřitelné","0 cm","0 cm","12/10/2021 19:00:00"
"Liberec","0,0 mm","2 mm","2,4 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Cheb","0,0 mm","5 mm","neměřitelné","0 cm","0 cm","12/10/2021 19:00:00"
"Kuchařovice","neměřitelné","neměřitelné","neměřitelné","0 cm","0 cm","12/10/2021 19:00:00"
"Praha-Kbely","0,1 mm","5 mm","0,1 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Náměšť nad Oslavou","0,1 mm","0,2 mm","neměřitelné","0 cm","0 cm","12/10/2021 19:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Ústí nad Labem","0,0 mm","0,9 mm","0,5 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Milešovka"," ","2 mm","2,4 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Jičín","neměřitelné","3 mm","0,3 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Churáňov","0,3 mm","1 mm","1,6 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Prostějov","neměřitelné","neměřitelné","neměřitelné","0 cm","0 cm","12/10/2021 19:00:00"
"Plzeň-Mikulka","1 mm","3 mm","0,5 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Luká","0,1 mm","0,1 mm","0,8 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Pardubice","0,3 mm","2 mm","0,4 mm","0 cm","0 cm","12/10/2021 19:00:00"
"Přimda","0,0 mm","0,5 mm","0,1 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Kuchařovice","0,0 mm","0,2 mm","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","1,2 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Liberec","0,0 mm","0,1 mm","2,4 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Milešovka"," ","0,0 mm","2,4 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Přibyslav","0,0 mm","3 mm","0,9 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Tušimice","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Svratouch","0,0 mm","0,8 mm","2,1 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Čáslav","0,0 mm","neměřitelné","0,8 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Churáňov","0,0 mm","5 mm","1,6 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Cheb","neměřitelné","0,0 mm","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Luká","0,0 mm","1 mm","0,8 mm","0 cm","0 cm","13/10/2021 05:00:00"
"České Budějovice","0,0 mm","2 mm","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Doksany","0,0 mm","0,0 mm","0,9 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Ústí nad Orlicí","neměřitelné","0,1 mm","1,0 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Holešov","0,0 mm","3 mm","0,0 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Košetice","0,0 mm","2 mm","0,3 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Dukovany","0,0 mm","0,6 mm","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Kopisty"," "," ","0,2 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Pardubice","0,0 mm","neměřitelné","0,4 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Praha-Libuš","0,0 mm","0,0 mm","1,0 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Kocelovice","0,0 mm","2 mm","0,6 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Lysá hora","0,0 mm","4 mm","0,2 mm","roztál","0 cm","13/10/2021 05:00:00"
"Brno-Tuřany","0,0 mm","0,5 mm","0,0 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Pec pod Sněžkou","0,2 mm","0,4 mm","0,7 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Ostrava-Mošnov","0,0 mm","7 mm","0,1 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Červená u Libavé","0,0 mm","3 mm","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Maruška","0,0 mm","2 mm","0,0 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Jičín","neměřitelné","0,0 mm","0,3 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Polom","neměřitelné","0,4 mm","0,0 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Náměšť nad Oslavou","0,0 mm","1 mm","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Karlovy Vary","neměřitelné","0,0 mm","0,2 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Kostelní Myslová","0,0 mm","0,8 mm","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","13/10/2021 05:00:00"
"Prostějov","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","13/10/2021 05:00:00"
"Temelín","0,0 mm","3 mm","0,1 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Ústí nad Labem","0,0 mm","0,0 mm","0,5 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Šerák","0,1 mm","3 mm","0,5 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Plzeň-Mikulka","0,0 mm","0,0 mm","0,5 mm","0 cm","0 cm","13/10/2021 05:00:00"
"Polom","0,0 mm","2 mm","8,4 mm","roztál","0 cm","13/10/2021 12:00:00"
"Cheb","0,0 mm","0,2 mm","4,8 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Prostějov","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","13/10/2021 12:00:00"
"Pardubice","0,0 mm","neměřitelné","1,8 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Kopisty"," ","0,0 mm","0,1 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Liberec","0,1 mm","0,2 mm","2,4 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Šerák","0,0 mm","3 mm","4,8 mm","1 cm","1 cm","13/10/2021 12:00:00"
"Brno-Tuřany","0,0 mm","0,5 mm","0,6 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Praha-Libuš","0,0 mm","0,0 mm","3,0 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Kocelovice","0,0 mm","2 mm","4,8 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Milešovka"," ","0,0 mm","1,5 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Karlovy Vary","0,0 mm","0,4 mm","3,3 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Přibyslav","0,3 mm","3 mm","6,2 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Luká","0,1 mm","1 mm","1,1 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Pec pod Sněžkou","0,0 mm","2 mm","5,6 mm","roztál","0 cm","13/10/2021 12:00:00"
"Náměšť nad Oslavou","neměřitelné","1 mm","1,2 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Ústí nad Orlicí","0,1 mm","0,1 mm","2,4 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Holešov","neměřitelné","3 mm","2,7 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","3,8 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Jičín","0,0 mm","neměřitelné","2,5 mm","0 cm","0 cm","13/10/2021 12:00:00"
"České Budějovice","0,0 mm","2 mm"," ","0 cm","0 cm","13/10/2021 12:00:00"
"Přimda","0,0 mm","0,7 mm","6,0 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Doksany","0,0 mm","0,0 mm","2,0 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Červená u Libavé","0,0 mm","3 mm","3,2 mm","poprašek","poprašek","13/10/2021 12:00:00"
"Košetice","0,0 mm","2 mm","3,2 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Lysá hora","0,1 mm","5 mm","7,4 mm","3 cm","3 cm","13/10/2021 12:00:00"
"Temelín","0,1 mm","3 mm","4,4 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Čáslav","neměřitelné","neměřitelné","2,6 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Kostelní Myslová","0,0 mm","0,8 mm","1,8 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Dukovany","neměřitelné","0,6 mm","0,7 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","13/10/2021 12:00:00"
"Churáňov","0,2 mm","5 mm","6,7 mm","3 cm","3 cm","13/10/2021 12:00:00"
"Svratouch","0,0 mm","0,8 mm","3,1 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Kuchařovice","0,0 mm","0,2 mm","0,2 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","4,9 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Ostrava-Mošnov","0,0 mm","8 mm","7,5 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Ústí nad Labem","0,0 mm","0,0 mm","0,9 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Maruška","neměřitelné"," ","3,6 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Tušimice","0,0 mm","neměřitelné","0,6 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Plzeň-Mikulka","0,0 mm","neměřitelné","3,4 mm","0 cm","0 cm","13/10/2021 12:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","4,9 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Temelín","0,0 mm","0,3 mm","4,4 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Kocelovice","0,0 mm","0,1 mm","4,8 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Ústí nad Orlicí","0,0 mm","6 mm","2,4 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","neměřitelné","1,2 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Churáňov","0,0 mm","0,9 mm","6,7 mm","3 cm","3 cm","13/10/2021 19:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","13/10/2021 19:00:00"
"Svratouch","0,0 mm","0,1 mm","3,1 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Čáslav","0,0 mm","neměřitelné","2,6 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Maruška","0,0 mm"," ","3,6 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","3,8 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Polom","0,0 mm","4 mm","8,4 mm","roztál","0 cm","13/10/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","6 mm","7,5 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Dukovany","0,0 mm","neměřitelné","0,7 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Přibyslav","0,0 mm","1 mm","6,2 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Cheb","0,0 mm","0,0 mm","4,8 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Doksany","0,0 mm","0,0 mm","2,0 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Pardubice","0,0 mm","neměřitelné","1,8 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Přimda","0,0 mm","0,3 mm","6,0 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Červená u Libavé","0,0 mm","2 mm","3,2 mm","poprašek","poprašek","13/10/2021 19:00:00"
"Kuchařovice","0,0 mm","0,1 mm","0,2 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Prostějov","0,0 mm","0,7 mm","neměřitelné","0 cm","0 cm","13/10/2021 19:00:00"
"Luká","0,1 mm","1 mm","1,1 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Ústí nad Labem","0,0 mm","0,0 mm","0,9 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Praha-Libuš","0,0 mm","0,0 mm","3,0 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Lysá hora","0,0 mm","4 mm","7,4 mm","3 cm","3 cm","13/10/2021 19:00:00"
"Pec pod Sněžkou","0,0 mm","0,8 mm","5,6 mm","roztál","0 cm","13/10/2021 19:00:00"
"Milešovka"," ","0,0 mm","1,5 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Karlovy Vary","0,0 mm","0,1 mm","3,3 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Šerák","0,0 mm","7 mm","4,8 mm","1 cm","1 cm","13/10/2021 19:00:00"
"Liberec","0,0 mm","1 mm","2,4 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","1,8 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,6 mm","0,6 mm","0 cm","0 cm","13/10/2021 19:00:00"
"České Budějovice","0,0 mm","0,9 mm"," ","0 cm","0 cm","13/10/2021 19:00:00"
"Košetice","0,0 mm","0,0 mm","3,2 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Holešov","0,0 mm","1 mm","2,7 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Plzeň-Mikulka","0,0 mm","0,0 mm","3,4 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Tušimice","0,0 mm","neměřitelné","0,6 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Jičín","0,0 mm","0,8 mm","2,5 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Kopisty"," ","0,0 mm","0,1 mm","0 cm","0 cm","13/10/2021 19:00:00"
"Pardubice","0,0 mm","0,0 mm","1,8 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Jičín","0,0 mm","0,0 mm","2,5 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Kocelovice","0,4 mm","0,0 mm","4,8 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Tušimice","neměřitelné","0,0 mm","0,6 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,6 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","1,2 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Holešov","0,0 mm","neměřitelné","2,7 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Svratouch","0,0 mm","0,0 mm","3,1 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Karlovy Vary","neměřitelné","0,1 mm","3,3 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Ostrava-Mošnov","0,0 mm","0,3 mm","7,5 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","3,2 mm","poprašek","poprašek","14/10/2021 05:00:00"
"Liberec","0,2 mm","0,0 mm","2,4 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Přibyslav","0,0 mm","0,0 mm","6,2 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Plzeň-Mikulka","0,2 mm","0,0 mm","3,4 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Přimda","0,1 mm","0,0 mm","6,0 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Pec pod Sněžkou","0,0 mm","0,0 mm","5,6 mm","roztál","0 cm","14/10/2021 05:00:00"
"Lysá hora","neměřitelné","0,5 mm","7,4 mm","3 cm","3 cm","14/10/2021 05:00:00"
"Šerák","0,0 mm","0,7 mm","4,8 mm","1 cm","1 cm","14/10/2021 05:00:00"
"Luká","0,0 mm","0,0 mm","1,1 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Cheb","0,2 mm","0,1 mm","4,8 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Ústí nad Orlicí","0,0 mm","0,0 mm","2,4 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Praha-Libuš","0,1 mm","0,0 mm","3,0 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Milešovka"," ","0,0 mm","1,5 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Praha-Kbely","0,4 mm","0,0 mm","4,9 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Ústí nad Labem","neměřitelné","0,0 mm","0,9 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Doksany","0,0 mm","0,0 mm","2,0 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","1,8 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Maruška","0,0 mm","2 mm","3,6 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Praha-Karlov","0,5 mm","0,0 mm"," "," "," ","14/10/2021 05:00:00"
"Dukovany","0,0 mm","0,0 mm","0,7 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Košetice","0,0 mm","0,0 mm","3,2 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Čáslav","0,0 mm","0,0 mm","2,6 mm","0 cm","0 cm","14/10/2021 05:00:00"
"České Budějovice","0,0 mm","0,0 mm"," ","0 cm","0 cm","14/10/2021 05:00:00"
"Polom","0,0 mm","0,0 mm","8,4 mm","roztál","0 cm","14/10/2021 05:00:00"
"Churáňov","neměřitelné","0,0 mm","6,7 mm","3 cm","3 cm","14/10/2021 05:00:00"
"Prostějov","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","14/10/2021 05:00:00"
"Kopisty"," "," ","0,1 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Praha-Ruzyně","0,1 mm","0,0 mm","3,8 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Temelín","0,0 mm","0,0 mm","4,4 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,2 mm","0 cm","0 cm","14/10/2021 05:00:00"
"Přimda","neměřitelné","1 mm","1,5 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Čáslav","neměřitelné","0,0 mm","neměřitelné","0 cm","0 cm","14/10/2021 12:00:00"
"Praha-Ruzyně","neměřitelné","0,4 mm","0,4 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Lysá hora","0,0 mm","0,5 mm","4,4 mm","2 cm","4 cm","14/10/2021 12:00:00"
"Polom","0,1 mm","0,0 mm","3,5 mm","roztál","0 cm","14/10/2021 12:00:00"
"Šerák","neměřitelné","0,7 mm","7,4 mm","7 cm","7 cm","14/10/2021 12:00:00"
"Jičín","neměřitelné","neměřitelné","0,8 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Pec pod Sněžkou","0,2 mm","0,1 mm","0,9 mm","roztál","0 cm","14/10/2021 12:00:00"
"Prostějov","0,0 mm","0,0 mm","0,7 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Churáňov","0,4 mm","1 mm","2,2 mm","nesouvislá vrstva","nesouvislá vrstva","14/10/2021 12:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,6 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Temelín","0,1 mm","neměřitelné","0,3 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Ústí nad Labem","0,1 mm","0,3 mm","0,3 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Karlovy Vary","0,0 mm","0,4 mm","0,5 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","14/10/2021 12:00:00"
"Přibyslav","neměřitelné","0,0 mm","1,2 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Kostelní Myslová","0,1 mm","0,0 mm","0,0 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Cheb","0,4 mm","1 mm","1,3 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Praha-Karlov","neměřitelné","0,5 mm"," "," "," ","14/10/2021 12:00:00"
"Holešov","0,0 mm","neměřitelné","1,0 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Dukovany","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","14/10/2021 12:00:00"
"Ostrava-Mošnov","0,0 mm","0,3 mm","5,9 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Plzeň-Mikulka","neměřitelné","0,8 mm","0,8 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Tušimice","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","14/10/2021 12:00:00"
"Ústí nad Orlicí","neměřitelné","0,0 mm","5,5 mm","roztál","0 cm","14/10/2021 12:00:00"
"Liberec","0,1 mm","0,7 mm","2,1 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Luká","0,0 mm","0,0 mm","1,4 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Praha-Libuš","0,2 mm","0,1 mm","0,1 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","1,9 mm","roztál","0 cm","14/10/2021 12:00:00"
"Kocelovice","neměřitelné","0,4 mm","0,5 mm","0 cm","0 cm","14/10/2021 12:00:00"
"České Budějovice","0,2 mm","0,2 mm","1,1 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Doksany","0,0 mm","0,2 mm","0,2 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Pardubice","0,2 mm","0,0 mm","neměřitelné","0 cm","0 cm","14/10/2021 12:00:00"
"Milešovka"," ","0,1 mm","0,1 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Svratouch","neměřitelné","0,0 mm","0,1 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Kopisty"," ","0,1 mm","0,1 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Maruška","0,0 mm","2 mm"," ","0 cm","0 cm","14/10/2021 12:00:00"
"Košetice","0,2 mm","0,0 mm","0,0 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Praha-Kbely","neměřitelné","0,5 mm","0,5 mm","0 cm","0 cm","14/10/2021 12:00:00"
"Temelín","0,1 mm","0,9 mm","0,3 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Kostelní Myslová","0,0 mm","0,3 mm","0,0 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Přibyslav","0,1 mm","0,5 mm","1,2 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Karlovy Vary","neměřitelné","0,4 mm","0,5 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Praha-Kbely","0,0 mm","0,5 mm","0,5 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,6 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Praha-Karlov","neměřitelné","1 mm"," "," "," ","14/10/2021 19:00:00"
"Přimda","0,0 mm","0,3 mm","1,5 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Lysá hora","0,0 mm","0,0 mm","4,4 mm","2 cm","4 cm","14/10/2021 19:00:00"
"Doksany","0,0 mm","0,9 mm","0,2 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Polom","0,5 mm","2 mm","3,5 mm","roztál","0 cm","14/10/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","1 mm","0,4 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Čáslav","neměřitelné","0,6 mm","neměřitelné","0 cm","0 cm","14/10/2021 19:00:00"
"Kuchařovice","0,0 mm","neměřitelné","0,1 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Maruška","0,0 mm"," "," ","0 cm","0 cm","14/10/2021 19:00:00"
"Ústí nad Orlicí","0,1 mm","0,3 mm","5,5 mm","roztál","0 cm","14/10/2021 19:00:00"
"Tušimice","neměřitelné","neměřitelné","neměřitelné","0 cm","0 cm","14/10/2021 19:00:00"
"Liberec","0,0 mm","2 mm","2,1 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Praha-Libuš","0,0 mm","1 mm","0,1 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Cheb","0,0 mm","1 mm","1,3 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Kopisty"," ","0,2 mm","0,1 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Ústí nad Labem","0,1 mm","2 mm","0,3 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Svratouch","0,0 mm","0,5 mm","0,1 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Jičín","neměřitelné","2 mm","0,8 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","5,9 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Červená u Libavé","0,0 mm","neměřitelné","1,9 mm","roztál","0 cm","14/10/2021 19:00:00"
"Pec pod Sněžkou","0,1 mm","2 mm","0,9 mm","roztál","0 cm","14/10/2021 19:00:00"
"Pardubice","0,1 mm","0,6 mm","neměřitelné","0 cm","0 cm","14/10/2021 19:00:00"
"Milešovka"," ","0,5 mm","0,1 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","14/10/2021 19:00:00"
"České Budějovice","0,0 mm","0,9 mm","1,1 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Kocelovice","neměřitelné","0,5 mm","0,5 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Churáňov","neměřitelné","0,8 mm","2,2 mm","nesouvislá vrstva","nesouvislá vrstva","14/10/2021 19:00:00"
"Šerák","0,0 mm","0,5 mm","7,4 mm","7 cm","7 cm","14/10/2021 19:00:00"
"Košetice","neměřitelné","0,9 mm","0,0 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Dukovany","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","14/10/2021 19:00:00"
"Prostějov","0,0 mm","neměřitelné","0,7 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Luká","0,0 mm","0,1 mm","1,4 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Holešov","0,0 mm","0,0 mm","1,0 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Plzeň-Mikulka","0,0 mm","1 mm","0,8 mm","0 cm","0 cm","14/10/2021 19:00:00"
"Přimda","0,0 mm","0,2 mm","0,5 mm","0 cm","0 cm","15/10/2021 12:00:00"
"Maruška","0,0 mm"," ","0,1 mm","0 cm","0 cm","15/10/2021 12:00:00"
"Náměšť nad Oslavou","0,0 mm","0,5 mm","0,5 mm","0 cm","0 cm","15/10/2021 12:00:00"
"Kostelní Myslová","0,0 mm","0,1 mm","0,4 mm","0 cm","0 cm","15/10/2021 12:00:00"
