"Stanice","Srazky_za_posledni_hodinu","Srazky_za_12_hodin","Srazky_za_24_hodin","Novy_snih_cm","Celkova_snehova_pokryvka_cm","date_stamp"
"Praha-Kbely","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Liberec","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Lysá hora","0,0 mm","0,0 mm","0,1 mm","poprašek","0 cm","24/10/2021 19:00:00"
"Karlovy Vary","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Košetice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Kopisty"," ","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Maruška","0,0 mm"," ","0,1 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Dukovany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Jičín","0,0 mm","0,0 mm","0,2 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Přimda","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Šerák","0,0 mm","0,0 mm","0,6 mm","nesouvislá vrstva","nesouvislá vrstva","24/10/2021 19:00:00"
"Praha-Libuš","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Pec pod Sněžkou","0,0 mm","0,0 mm","4,7 mm","roztál","0 cm","24/10/2021 19:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Luká","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","24/10/2021 19:00:00"
"Čáslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Ústí nad Labem","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","24/10/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Cheb","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Polom","0,0 mm","0,0 mm","0,8 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Tušimice","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","24/10/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Milešovka"," ","0,0 mm","0,1 mm","roztál","0 cm","24/10/2021 19:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Churáňov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Šerák","0,0 mm","0,0 mm","0,4 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","19/10/2021 05:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Milešovka"," ","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
