"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Praha-Karlov","8,2 °C","-0,1 °C","56%"," "," "," "," ","13/10/2021 19:00:00"
"Svratouch","3,2 °C","1,0 °C","86%","5,1 °C","9,5 °C","1,2 °C","0,4 °C","13/10/2021 19:00:00"
"Čáslav","4,9 °C","1,6 °C","79%","7,7 °C","13,2 °C","1,6 °C","-1,1 °C","13/10/2021 19:00:00"
"Maruška","2,8 °C","2,7 °C","99%","6,3 °C","9,5 °C","1,5 °C","0,5 °C","13/10/2021 19:00:00"
"Praha-Ruzyně","5,2 °C","0,3 °C","70%","6,6 °C","12,5 °C","1,6 °C","-0,1 °C","13/10/2021 19:00:00"
"Polom","3,1 °C","0,8 °C","85%","3,9 °C","7,3 °C","0,6 °C","-0,8 °C","13/10/2021 19:00:00"
"Ostrava-Mošnov","5,6 °C","5,3 °C","98%","7,9 °C","12,9 °C","3,3 °C","-0,9 °C","13/10/2021 19:00:00"
"Dukovany","4,3 °C","1,0 °C","79%","8,1 °C","13,7 °C","1,7 °C","-0,3 °C","13/10/2021 19:00:00"
"Přibyslav","3,5 °C","2,2 °C","91%","6,0 °C","10,4 °C","1,7 °C","1,8 °C","13/10/2021 19:00:00"
"Cheb","4,8 °C","1,8 °C","81%","6,1 °C","11,4 °C","2,2 °C","-2,6 °C","13/10/2021 19:00:00"
"Doksany","3,7 °C","-0,3 °C","75%","6,2 °C","12,9 °C","0,4 °C","-5,3 °C","13/10/2021 19:00:00"
"Pardubice","6,9 °C","2,9 °C","75%","8,5 °C","13,7 °C","2,9 °C","0,2 °C","13/10/2021 19:00:00"
"Přimda","2,6 °C","1,3 °C","91%","4,6 °C","8,8 °C","1,0 °C","-0,6 °C","13/10/2021 19:00:00"
"Červená u Libavé","2,0 °C","1,0 °C","93%","4,8 °C","8,8 °C","0,2 °C","-2,8 °C","13/10/2021 19:00:00"
"Kuchařovice","5,7 °C","1,4 °C","74%","9,0 °C","13,2 °C","3,0 °C","0,3 °C","13/10/2021 19:00:00"
"Prostějov","6,5 °C","3,5 °C","81%","9,1 °C","13,3 °C","3,0 °C","-2,3 °C","13/10/2021 19:00:00"
"Luká","3,6 °C","2,7 °C","93%","7,3 °C","11,8 °C","2,1 °C","0,1 °C","13/10/2021 19:00:00"
"Ústí nad Labem","6,1 °C","1,3 °C","71%","6,7 °C","10,3 °C","3,0 °C","-1,4 °C","13/10/2021 19:00:00"
"Praha-Libuš","7,4 °C","-0,4 °C","58%","7,4 °C","13,4 °C","1,4 °C","-4,2 °C","13/10/2021 19:00:00"
"Lysá hora","-1,2 °C","-1,3 °C","99%","0,9 °C","3,1 °C","-2,5 °C","-1,8 °C","13/10/2021 19:00:00"
"Pec pod Sněžkou","2,5 °C","-0,9 °C","78%","3,4 °C","6,0 °C","1,1 °C","0,1 °C","13/10/2021 19:00:00"
"Milešovka","3,1 °C","1,3 °C","88%","3,4 °C","7,5 °C","0,8 °C","-0,4 °C","13/10/2021 19:00:00"
"Karlovy Vary","1,4 °C","-1,0 °C","84%","4,9 °C","8,9 °C","0,6 °C","-1,7 °C","13/10/2021 19:00:00"
"Šerák","-1,7 °C","-1,7 °C","100%","-0,5 °C","1,2 °C","-3,1 °C","-2,1 °C","13/10/2021 19:00:00"
"Liberec","2,2 °C","0,7 °C","90%","5,5 °C","10,9 °C","2,5 °C","0,5 °C","13/10/2021 19:00:00"
"Kostelní Myslová","3,5 °C","-0,1 °C","77%","6,7 °C","11,5 °C","1,7 °C","-0,9 °C","13/10/2021 19:00:00"
"Brno-Tuřany","5,7 °C","3,4 °C","85%","9,0 °C","13,3 °C","3,4 °C","-1,1 °C","13/10/2021 19:00:00"
"České Budějovice","3,4 °C","1,6 °C","88%","8,6 °C","13,7 °C","1,0 °C","-1,9 °C","13/10/2021 19:00:00"
"Košetice","3,2 °C","0,7 °C","84%","6,5 °C","12,0 °C","2,0 °C","-0,7 °C","13/10/2021 19:00:00"
"Holešov","4,9 °C","3,5 °C","91%","8,0 °C","13,2 °C","1,1 °C","-1,2 °C","13/10/2021 19:00:00"
"Plzeň-Mikulka","6,2 °C","0,5 °C","67%","7,1 °C","13,6 °C","1,8 °C","-2,6 °C","13/10/2021 19:00:00"
"Tušimice","6,2 °C","0,2 °C","65%","7,5 °C","13,5 °C","3,7 °C","0,6 °C","13/10/2021 19:00:00"
"Jičín","6,4 °C","2,5 °C","76%","7,2 °C","11,7 °C","2,2 °C","0,6 °C","13/10/2021 19:00:00"
"Kopisty","4,1 °C","1,5 °C","83%","6,8 °C","13,0 °C","3,0 °C","-1,4 °C","13/10/2021 19:00:00"
"Pardubice","0,9 °C","0,0 °C","94%","8,5 °C","13,7 °C","2,9 °C","0,2 °C","14/10/2021 05:00:00"
"Jičín","2,9 °C","1,5 °C","91%","7,2 °C","11,7 °C","2,2 °C","0,6 °C","14/10/2021 05:00:00"
"Kocelovice","3,9 °C","3,2 °C","95%","7,0 °C","10,6 °C","2,0 °C","0,0 °C","14/10/2021 05:00:00"
"Tušimice","6,0 °C","3,3 °C","83%","7,5 °C","13,5 °C","3,7 °C","0,6 °C","14/10/2021 05:00:00"
"Brno-Tuřany","1,6 °C","0,3 °C","91%","9,0 °C","13,3 °C","3,4 °C","-1,1 °C","14/10/2021 05:00:00"
"Náměšť nad Oslavou","1,4 °C","-0,6 °C","86%","7,0 °C","11,7 °C","2,3 °C","0,4 °C","14/10/2021 05:00:00"
"Holešov","1,3 °C","0,6 °C","95%","8,0 °C","13,2 °C","1,1 °C","-1,2 °C","14/10/2021 05:00:00"
"Svratouch","1,7 °C","-0,1 °C","88%","5,1 °C","9,5 °C","1,2 °C","0,4 °C","14/10/2021 05:00:00"
"Karlovy Vary","4,6 °C","3,6 °C","93%","4,9 °C","8,9 °C","0,6 °C","-1,7 °C","14/10/2021 05:00:00"
"Ostrava-Mošnov","1,9 °C","1,6 °C","98%","7,9 °C","12,9 °C","3,3 °C","-0,9 °C","14/10/2021 05:00:00"
"Červená u Libavé","1,6 °C","-0,1 °C","88%","4,8 °C","8,8 °C","0,2 °C","-2,8 °C","14/10/2021 05:00:00"
"Liberec","3,8 °C","2,3 °C","90%","5,5 °C","10,9 °C","2,5 °C","0,5 °C","14/10/2021 05:00:00"
"Přibyslav","-0,3 °C","-0,4 °C","99%","6,0 °C","10,4 °C","1,7 °C","1,8 °C","14/10/2021 05:00:00"
"Plzeň-Mikulka","4,2 °C","3,4 °C","95%","7,1 °C","13,6 °C","1,8 °C","-2,6 °C","14/10/2021 05:00:00"
"Přimda","2,9 °C","2,7 °C","99%","4,6 °C","8,8 °C","1,0 °C","-0,6 °C","14/10/2021 05:00:00"
"Pec pod Sněžkou","1,1 °C","-0,1 °C","92%","3,4 °C","6,0 °C","1,1 °C","0,1 °C","14/10/2021 05:00:00"
"Lysá hora","-1,4 °C","-1,4 °C","100%","0,9 °C","3,1 °C","-2,5 °C","-1,8 °C","14/10/2021 05:00:00"
"Šerák","-2,8 °C","-3,0 °C","98%","-0,5 °C","1,2 °C","-3,1 °C","-2,1 °C","14/10/2021 05:00:00"
"Luká","1,9 °C","0,7 °C","92%","7,3 °C","11,8 °C","2,1 °C","0,1 °C","14/10/2021 05:00:00"
"Cheb","4,7 °C","4,0 °C","95%","6,1 °C","11,4 °C","2,2 °C","-2,6 °C","14/10/2021 05:00:00"
"Ústí nad Orlicí","0,0 °C","-0,2 °C","99%","7,6 °C","11,8 °C","3,0 °C","-0,5 °C","14/10/2021 05:00:00"
"Praha-Libuš","4,4 °C","2,1 °C","85%","7,4 °C","13,4 °C","1,4 °C","-4,2 °C","14/10/2021 05:00:00"
"Milešovka","3,4 °C","3,4 °C","100%","3,4 °C","7,5 °C","0,8 °C","-0,4 °C","14/10/2021 05:00:00"
"Praha-Kbely","4,2 °C","2,8 °C","91%","7,3 °C","12,8 °C","1,9 °C","-2,4 °C","14/10/2021 05:00:00"
"Ústí nad Labem","4,9 °C","2,6 °C","85%","6,7 °C","10,3 °C","3,0 °C","-1,4 °C","14/10/2021 05:00:00"
"Doksany","3,4 °C","1,7 °C","89%","6,2 °C","12,9 °C","0,4 °C","-5,3 °C","14/10/2021 05:00:00"
"Kostelní Myslová","0,0 °C","-0,8 °C","94%","6,7 °C","11,5 °C","1,7 °C","-0,9 °C","14/10/2021 05:00:00"
"Maruška","2,6 °C","1,5 °C","92%","6,3 °C","9,5 °C","1,5 °C","0,5 °C","14/10/2021 05:00:00"
"Praha-Karlov","4,0 °C","1,9 °C","86%"," "," "," "," ","14/10/2021 05:00:00"
"Dukovany","1,8 °C","-0,4 °C","86%","8,1 °C","13,7 °C","1,7 °C","-0,3 °C","14/10/2021 05:00:00"
"Košetice","1,4 °C","0,1 °C","91%","6,5 °C","12,0 °C","2,0 °C","-0,7 °C","14/10/2021 05:00:00"
"Čáslav","2,0 °C","-0,3 °C","85%","7,7 °C","13,2 °C","1,6 °C","-1,1 °C","14/10/2021 05:00:00"
"České Budějovice","1,7 °C","-0,1 °C","88%","8,6 °C","13,7 °C","1,0 °C","-1,9 °C","14/10/2021 05:00:00"
"Polom","1,0 °C","0,6 °C","97%","3,9 °C","7,3 °C","0,6 °C","-0,8 °C","14/10/2021 05:00:00"
"Churáňov","0,1 °C","-0,3 °C","94%","1,7 °C","6,2 °C","-0,3 °C","0,0 °C","14/10/2021 05:00:00"
"Prostějov","2,1 °C","1,2 °C","94%","9,1 °C","13,3 °C","3,0 °C","-2,3 °C","14/10/2021 05:00:00"
"Kopisty"," "," "," ","6,8 °C","13,0 °C","3,0 °C","-1,4 °C","14/10/2021 05:00:00"
"Praha-Ruzyně","4,3 °C","2,9 °C","91%","6,6 °C","12,5 °C","1,6 °C","-0,1 °C","14/10/2021 05:00:00"
"Temelín","1,1 °C","1,1 °C","100%","7,2 °C","11,8 °C","2,2 °C","0,5 °C","14/10/2021 05:00:00"
"Kuchařovice","2,3 °C","0,7 °C","90%","9,0 °C","13,2 °C","3,0 °C","0,3 °C","14/10/2021 05:00:00"
"Přimda","5,5 °C","5,4 °C","99%","2,8 °C","7,4 °C","1,4 °C","-2,0 °C","14/10/2021 12:00:00"
"Čáslav","8,7 °C","6,0 °C","83%","4,8 °C","10,2 °C","1,0 °C","-3,8 °C","14/10/2021 12:00:00"
"Praha-Ruzyně","8,6 °C","7,2 °C","91%","4,7 °C","10,2 °C","2,5 °C","0,6 °C","14/10/2021 12:00:00"
"Lysá hora","1,8 °C","-1,2 °C","81%","-1,3 °C","-0,7 °C","-2,5 °C","-1,4 °C","14/10/2021 12:00:00"
"Polom","2,7 °C","2,3 °C","97%","2,8 °C","4,8 °C","0,0 °C","-2,0 °C","14/10/2021 12:00:00"
"Šerák","-0,7 °C","-0,7 °C","100%","-2,0 °C","-1,4 °C","-4,0 °C","-1,2 °C","14/10/2021 12:00:00"
"Jičín","5,8 °C","4,6 °C","92%","4,1 °C","9,5 °C","1,1 °C","-0,4 °C","14/10/2021 12:00:00"
"Pec pod Sněžkou","4,0 °C","2,7 °C","91%","2,7 °C","5,3 °C","-1,6 °C","-3,3 °C","14/10/2021 12:00:00"
"Prostějov","10,3 °C","3,8 °C","64%","6,2 °C","10,1 °C","0,1 °C","-3,6 °C","14/10/2021 12:00:00"
"Churáňov","3,0 °C","2,7 °C","98%","0,4 °C","3,8 °C","-2,2 °C","-4,6 °C","14/10/2021 12:00:00"
"Brno-Tuřany","9,5 °C","3,5 °C","66%","5,5 °C","10,3 °C","1,0 °C","-1,4 °C","14/10/2021 12:00:00"
"Temelín","6,3 °C","6,3 °C","100%","5,2 °C","9,3 °C","0,7 °C","-0,5 °C","14/10/2021 12:00:00"
"Ústí nad Labem","6,7 °C","6,1 °C","96%","5,7 °C","10,4 °C","3,6 °C","-1,5 °C","14/10/2021 12:00:00"
"Karlovy Vary","7,3 °C","5,8 °C","90%","4,0 °C","8,2 °C","0,5 °C","0,1 °C","14/10/2021 12:00:00"
"Náměšť nad Oslavou","7,9 °C","4,3 °C","78%","4,0 °C","7,9 °C","1,0 °C","-1,2 °C","14/10/2021 12:00:00"
"Přibyslav","7,0 °C","5,0 °C","87%","3,7 °C","7,2 °C","-1,2 °C","-3,4 °C","14/10/2021 12:00:00"
"Kostelní Myslová","6,4 °C","4,2 °C","86%","3,3 °C","8,7 °C","-0,3 °C","-4,1 °C","14/10/2021 12:00:00"
"Cheb","7,8 °C","6,7 °C","93%","5,8 °C","9,9 °C","2,6 °C","1,9 °C","14/10/2021 12:00:00"
"Praha-Karlov","8,3 °C","6,6 °C","89%"," "," "," "," ","14/10/2021 12:00:00"
"Holešov","8,9 °C","4,1 °C","72%","5,2 °C","9,2 °C","0,2 °C","-1,2 °C","14/10/2021 12:00:00"
"Dukovany","9,1 °C","4,5 °C","73%","4,6 °C","9,5 °C","1,4 °C","-2,0 °C","14/10/2021 12:00:00"
"Ostrava-Mošnov","10,1 °C","3,8 °C","65%","5,3 °C","8,3 °C","-0,1 °C","-1,8 °C","14/10/2021 12:00:00"
"Plzeň-Mikulka","8,3 °C","7,3 °C","94%","5,5 °C","12,1 °C","2,4 °C","-2,5 °C","14/10/2021 12:00:00"
"Tušimice","12,2 °C","6,4 °C","68%","7,4 °C","11,7 °C","4,6 °C","3,3 °C","14/10/2021 12:00:00"
"Ústí nad Orlicí","7,5 °C","4,7 °C","82%","4,6 °C","9,2 °C","-0,3 °C","-2,8 °C","14/10/2021 12:00:00"
"Liberec","5,1 °C","4,1 °C","93%","3,2 °C","7,7 °C","-1,4 °C","-4,2 °C","14/10/2021 12:00:00"
"Luká","6,8 °C","4,6 °C","84%","4,1 °C","7,2 °C","1,1 °C","-0,8 °C","14/10/2021 12:00:00"
"Praha-Libuš","8,2 °C","6,6 °C","90%","5,2 °C","10,9 °C","2,6 °C","-2,0 °C","14/10/2021 12:00:00"
"Červená u Libavé","5,5 °C","1,6 °C","76%","1,8 °C","6,0 °C","0,8 °C","-2,3 °C","14/10/2021 12:00:00"
"Kocelovice","6,5 °C","5,6 °C","94%","4,5 °C","9,0 °C","1,4 °C","-1,5 °C","14/10/2021 12:00:00"
"České Budějovice","8,6 °C","6,0 °C","84%","3,0 °C","10,3 °C","-0,8 °C","-3,6 °C","14/10/2021 12:00:00"
"Doksany","9,2 °C","6,5 °C","83%","4,4 °C","12,3 °C","1,2 °C","-3,8 °C","14/10/2021 12:00:00"
"Pardubice","8,9 °C","6,2 °C","83%","5,5 °C","9,9 °C","0,4 °C","-2,5 °C","14/10/2021 12:00:00"
"Milešovka","5,9 °C","5,9 °C","100%","3,2 °C","6,0 °C","1,4 °C","1,4 °C","14/10/2021 12:00:00"
"Svratouch","5,5 °C","3,9 °C","89%","3,3 °C","6,5 °C","-0,1 °C","-2,3 °C","14/10/2021 12:00:00"
"Kopisty"," "," "," ","4,6 °C","12,4 °C","1,3 °C","-3,6 °C","14/10/2021 12:00:00"
"Maruška","5,9 °C","4,1 °C","88%","3,0 °C","5,0 °C","1,2 °C","0,3 °C","14/10/2021 12:00:00"
"Košetice","6,3 °C","5,4 °C","94%","3,8 °C","7,4 °C","0,7 °C","-3,4 °C","14/10/2021 12:00:00"
"Kuchařovice","9,4 °C","4,0 °C","69%","4,9 °C","10,7 °C","1,9 °C","-1,0 °C","14/10/2021 12:00:00"
"Praha-Kbely","8,2 °C","7,1 °C","93%","6,1 °C","9,9 °C","1,2 °C","-3,6 °C","14/10/2021 12:00:00"
"Temelín","7,4 °C","7,4 °C","100%","5,2 °C","9,3 °C","0,7 °C","-0,5 °C","14/10/2021 19:00:00"
"Kostelní Myslová","6,7 °C","5,6 °C","93%","3,3 °C","8,7 °C","-0,3 °C","-4,1 °C","14/10/2021 19:00:00"
"Přibyslav","6,7 °C","6,6 °C","99%","3,7 °C","7,2 °C","-1,2 °C","-3,4 °C","14/10/2021 19:00:00"
"Karlovy Vary","7,2 °C","6,3 °C","94%","4,0 °C","8,2 °C","0,5 °C","0,1 °C","14/10/2021 19:00:00"
"Praha-Kbely","9,5 °C","7,8 °C","89%","6,1 °C","9,9 °C","1,2 °C","-3,6 °C","14/10/2021 19:00:00"
"Brno-Tuřany","9,4 °C","6,3 °C","81%","5,5 °C","10,3 °C","1,0 °C","-1,4 °C","14/10/2021 19:00:00"
"Praha-Karlov","9,3 °C","7,2 °C","87%"," "," "," "," ","14/10/2021 19:00:00"
"Přimda","5,7 °C","5,6 °C","99%","2,8 °C","7,4 °C","1,4 °C","-2,0 °C","14/10/2021 19:00:00"
"Lysá hora","0,1 °C","-0,3 °C","97%","-1,3 °C","-0,7 °C","-2,5 °C","-1,4 °C","14/10/2021 19:00:00"
"Doksany","10,8 °C","7,5 °C","80%","4,4 °C","12,3 °C","1,2 °C","-3,8 °C","14/10/2021 19:00:00"
"Polom","4,8 °C","4,5 °C","98%","2,8 °C","4,8 °C","0,0 °C","-2,0 °C","14/10/2021 19:00:00"
"Praha-Ruzyně","8,8 °C","7,6 °C","92%","4,7 °C","10,2 °C","2,5 °C","0,6 °C","14/10/2021 19:00:00"
"Čáslav","9,2 °C","7,1 °C","87%","4,8 °C","10,2 °C","1,0 °C","-3,8 °C","14/10/2021 19:00:00"
"Kuchařovice","8,4 °C","5,5 °C","82%","4,9 °C","10,7 °C","1,9 °C","-1,0 °C","14/10/2021 19:00:00"
"Maruška","5,3 °C","3,3 °C","87%","3,0 °C","5,0 °C","1,2 °C","0,3 °C","14/10/2021 19:00:00"
"Ústí nad Orlicí","7,4 °C","6,7 °C","96%","4,6 °C","9,2 °C","-0,3 °C","-2,8 °C","14/10/2021 19:00:00"
"Tušimice","10,0 °C","6,9 °C","81%","7,4 °C","11,7 °C","4,6 °C","3,3 °C","14/10/2021 19:00:00"
"Liberec","6,7 °C","5,8 °C","94%","3,2 °C","7,7 °C","-1,4 °C","-4,2 °C","14/10/2021 19:00:00"
"Praha-Libuš","9,1 °C","7,1 °C","88%","5,2 °C","10,9 °C","2,6 °C","-2,0 °C","14/10/2021 19:00:00"
"Cheb","7,9 °C","7,0 °C","94%","5,8 °C","9,9 °C","2,6 °C","1,9 °C","14/10/2021 19:00:00"
"Kopisty","10,4 °C","8,5 °C","88%","4,6 °C","12,4 °C","1,3 °C","-3,6 °C","14/10/2021 19:00:00"
"Ústí nad Labem","9,0 °C","8,5 °C","97%","5,7 °C","10,4 °C","3,6 °C","-1,5 °C","14/10/2021 19:00:00"
"Svratouch","5,5 °C","5,3 °C","99%","3,3 °C","6,5 °C","-0,1 °C","-2,3 °C","14/10/2021 19:00:00"
"Jičín","7,8 °C","6,9 °C","94%","4,1 °C","9,5 °C","1,1 °C","-0,4 °C","14/10/2021 19:00:00"
"Ostrava-Mošnov","8,7 °C","4,7 °C","76%","5,3 °C","8,3 °C","-0,1 °C","-1,8 °C","14/10/2021 19:00:00"
"Červená u Libavé","4,9 °C","3,7 °C","92%","1,8 °C","6,0 °C","0,8 °C","-2,3 °C","14/10/2021 19:00:00"
"Pec pod Sněžkou","5,2 °C","4,4 °C","94%","2,7 °C","5,3 °C","-1,6 °C","-3,3 °C","14/10/2021 19:00:00"
"Pardubice","9,2 °C","8,0 °C","93%","5,5 °C","9,9 °C","0,4 °C","-2,5 °C","14/10/2021 19:00:00"
"Milešovka","6,4 °C","6,4 °C","100%","3,2 °C","6,0 °C","1,4 °C","1,4 °C","14/10/2021 19:00:00"
"Náměšť nad Oslavou","7,3 °C","6,3 °C","93%","4,0 °C","7,9 °C","1,0 °C","-1,2 °C","14/10/2021 19:00:00"
"České Budějovice","8,3 °C","5,8 °C","84%","3,0 °C","10,3 °C","-0,8 °C","-3,6 °C","14/10/2021 19:00:00"
"Kocelovice","7,3 °C","6,2 °C","93%","4,5 °C","9,0 °C","1,4 °C","-1,5 °C","14/10/2021 19:00:00"
"Churáňov","3,2 °C","2,9 °C","98%","0,4 °C","3,8 °C","-2,2 °C","-4,6 °C","14/10/2021 19:00:00"
"Šerák","0,5 °C","0,4 °C","99%","-2,0 °C","-1,4 °C","-4,0 °C","-1,2 °C","14/10/2021 19:00:00"
"Košetice","7,2 °C","6,1 °C","93%","3,8 °C","7,4 °C","0,7 °C","-3,4 °C","14/10/2021 19:00:00"
"Dukovany","7,8 °C","5,8 °C","87%","4,6 °C","9,5 °C","1,4 °C","-2,0 °C","14/10/2021 19:00:00"
"Prostějov","9,6 °C","5,0 °C","73%","6,2 °C","10,1 °C","0,1 °C","-3,6 °C","14/10/2021 19:00:00"
"Luká","6,4 °C","4,9 °C","90%","4,1 °C","7,2 °C","1,1 °C","-0,8 °C","14/10/2021 19:00:00"
"Holešov","8,4 °C","4,4 °C","76%","5,2 °C","9,2 °C","0,2 °C","-1,2 °C","14/10/2021 19:00:00"
"Plzeň-Mikulka","8,6 °C","7,1 °C","90%","5,5 °C","12,1 °C","2,4 °C","-2,5 °C","14/10/2021 19:00:00"
"Ústí nad Orlicí","8,2 °C","7,0 °C","92%","4,6 °C","9,2 °C","-0,3 °C","-2,8 °C","15/10/2021 05:00:00"
"Holešov","7,6 °C","6,0 °C","90%","5,2 °C","9,2 °C","0,2 °C","-1,2 °C","15/10/2021 05:00:00"
"Ústí nad Labem","8,4 °C","7,3 °C","93%","5,7 °C","10,4 °C","3,6 °C","-1,5 °C","15/10/2021 05:00:00"
"Kostelní Myslová","6,2 °C","5,0 °C","92%","3,3 °C","8,7 °C","-0,3 °C","-4,1 °C","15/10/2021 05:00:00"
"Pec pod Sněžkou","5,5 °C","5,1 °C","97%","2,7 °C","5,3 °C","-1,6 °C","-3,3 °C","15/10/2021 05:00:00"
"Lysá hora","1,8 °C","1,6 °C","99%","-1,3 °C","-0,7 °C","-2,5 °C","-1,4 °C","15/10/2021 05:00:00"
"České Budějovice","7,6 °C","5,6 °C","87%","3,0 °C","10,3 °C","-0,8 °C","-3,6 °C","15/10/2021 05:00:00"
"Šerák","1,8 °C","1,8 °C","100%","-2,0 °C","-1,4 °C","-4,0 °C","-1,2 °C","15/10/2021 05:00:00"
"Kuchařovice","7,1 °C","6,2 °C","94%","4,9 °C","10,7 °C","1,9 °C","-1,0 °C","15/10/2021 05:00:00"
"Maruška","4,9 °C","4,9 °C","100%","3,0 °C","5,0 °C","1,2 °C","0,3 °C","15/10/2021 05:00:00"
"Churáňov","3,0 °C","2,9 °C","98%","0,4 °C","3,8 °C","-2,2 °C","-4,6 °C","15/10/2021 05:00:00"
"Doksany","9,8 °C","6,9 °C","82%","4,4 °C","12,3 °C","1,2 °C","-3,8 °C","15/10/2021 05:00:00"
"Brno-Tuřany","7,6 °C","6,9 °C","95%","5,5 °C","10,3 °C","1,0 °C","-1,4 °C","15/10/2021 05:00:00"
"Kopisty"," "," "," ","4,6 °C","12,4 °C","1,3 °C","-3,6 °C","15/10/2021 05:00:00"
"Kocelovice","7,4 °C","6,5 °C","94%","4,5 °C","9,0 °C","1,4 °C","-1,5 °C","15/10/2021 05:00:00"
"Praha-Ruzyně","8,8 °C","7,6 °C","92%","4,7 °C","10,2 °C","2,5 °C","0,6 °C","15/10/2021 05:00:00"
"Temelín","6,3 °C","6,3 °C","100%","5,2 °C","9,3 °C","0,7 °C","-0,5 °C","15/10/2021 05:00:00"
"Liberec","8,7 °C","6,7 °C","87%","3,2 °C","7,7 °C","-1,4 °C","-4,2 °C","15/10/2021 05:00:00"
"Cheb","7,7 °C","7,0 °C","95%","5,8 °C","9,9 °C","2,6 °C","1,9 °C","15/10/2021 05:00:00"
"Přibyslav","6,8 °C","6,7 °C","99%","3,7 °C","7,2 °C","-1,2 °C","-3,4 °C","15/10/2021 05:00:00"
"Košetice","7,1 °C","5,9 °C","92%","3,8 °C","7,4 °C","0,7 °C","-3,4 °C","15/10/2021 05:00:00"
"Svratouch","5,8 °C","5,7 °C","99%","3,3 °C","6,5 °C","-0,1 °C","-2,3 °C","15/10/2021 05:00:00"
"Náměšť nad Oslavou","5,9 °C","5,7 °C","99%","4,0 °C","7,9 °C","1,0 °C","-1,2 °C","15/10/2021 05:00:00"
"Čáslav","9,0 °C","6,6 °C","85%","4,8 °C","10,2 °C","1,0 °C","-3,8 °C","15/10/2021 05:00:00"
"Plzeň-Mikulka","8,5 °C","7,2 °C","92%","5,5 °C","12,1 °C","2,4 °C","-2,5 °C","15/10/2021 05:00:00"
"Přimda","9,0 °C","6,7 °C","86%","5,3 °C","6,3 °C","3,3 °C","5,1 °C","15/10/2021 12:00:00"
"Maruška","6,0 °C","5,7 °C","98%","5,0 °C","7,3 °C","3,3 °C","4,6 °C","15/10/2021 12:00:00"
"Náměšť nad Oslavou","10,6 °C","7,9 °C","83%","6,1 °C","9,0 °C","0,6 °C","4,3 °C","15/10/2021 12:00:00"
"Kostelní Myslová","13,3 °C","7,7 °C","68%","5,1 °C","7,6 °C","0,0 °C","5,1 °C","15/10/2021 12:00:00"
"Ústí nad Labem","12,2 °C","6,5 °C","68%","7,6 °C","9,3 °C","4,9 °C","7,2 °C","15/10/2021 12:00:00"
"Pec pod Sněžkou","6,9 °C","5,8 °C","92%","4,3 °C","5,8 °C","2,0 °C","5,1 °C","15/10/2021 12:00:00"
"Praha-Libuš","14,2 °C","6,6 °C","60%","8,1 °C","9,8 °C","5,2 °C","7,0 °C","15/10/2021 12:00:00"
"Cheb","11,6 °C","6,5 °C","71%","7,4 °C","8,4 °C","5,2 °C","5,4 °C","15/10/2021 12:00:00"
"Karlovy Vary","10,2 °C","4,6 °C","68%","6,7 °C","8,0 °C","4,9 °C","6,4 °C","15/10/2021 12:00:00"
"Kuchařovice","12,6 °C","7,5 °C","71%","7,5 °C","10,5 °C","2,9 °C","5,4 °C","15/10/2021 12:00:00"
"Dukovany","11,3 °C","7,4 °C","77%","6,7 °C","10,5 °C","1,6 °C","5,5 °C","15/10/2021 12:00:00"
"Pardubice","14,2 °C","8,1 °C","67%","7,5 °C","9,9 °C","2,0 °C","6,9 °C","15/10/2021 12:00:00"
"Holešov","11,0 °C","6,2 °C","72%","6,5 °C","10,9 °C","1,1 °C","5,9 °C","15/10/2021 12:00:00"
"Lysá hora","2,7 °C","2,5 °C","99%","0,4 °C","3,3 °C","-1,9 °C","1,1 °C","15/10/2021 12:00:00"
"Ostrava-Mošnov","11,0 °C","7,7 °C","80%","7,1 °C","10,8 °C","0,9 °C","7,0 °C","15/10/2021 12:00:00"
"Šerák","2,2 °C","2,2 °C","100%","-0,5 °C","1,9 °C","-3,6 °C","1,0 °C","15/10/2021 12:00:00"
"Liberec","11,3 °C","7,8 °C","79%","6,0 °C","8,9 °C","4,2 °C","7,1 °C","15/10/2021 12:00:00"
"Přibyslav","12,1 °C","7,6 °C","74%","5,4 °C","7,6 °C","0,5 °C","6,2 °C","15/10/2021 12:00:00"
"Praha-Ruzyně","13,2 °C","7,4 °C","68%","7,8 °C","9,8 °C","4,7 °C","7,2 °C","15/10/2021 12:00:00"
"Polom","7,7 °C","7,4 °C","98%","4,1 °C","6,0 °C","1,5 °C","6,1 °C","15/10/2021 12:00:00"
"Milešovka","9,1 °C","6,7 °C","85%","5,6 °C","7,0 °C","3,2 °C","5,7 °C","15/10/2021 12:00:00"
"Churáňov","9,4 °C","3,8 °C","68%","2,6 °C","3,9 °C","0,3 °C","0,0 °C","15/10/2021 12:00:00"
"Svratouch","10,3 °C","8,0 °C","86%","4,6 °C","6,6 °C","1,3 °C","5,9 °C","15/10/2021 12:00:00"
"Čáslav","15,2 °C","6,8 °C","57%","8,0 °C","9,9 °C","3,8 °C","6,3 °C","15/10/2021 12:00:00"
"Jičín","13,2 °C","9,6 °C","79%","6,0 °C","8,5 °C","2,7 °C","7,5 °C","15/10/2021 12:00:00"
